ID,name,Age,position,Squad,12. MP_Pct,11. Aerial Duels_Won%_Pct,10. TklW90_Pct,9. Blocks90_Pct,8. Passing%_Pct,6. TB90_Pct,7. Crs90_Pct,5. Dribbles_Succ%_Pct,3. SCA90_Pct,2. GCA90_Pct,4. Ast90_Pct,1. Gls90_Pct
2019_Steve Birnbaum_D.C. United,Steve Birnbaum,28,"DF (CB, left)",D.C. United,0.9912868632707775,0.948695652173913,0.2103825136612022,0.7792869269949066,0.5994940978077572,0.22874149659863946,0.15753424657534246,0.7770758122743683,0.17899159663865546,0.33949579831932775,0.24629878869448182,0.5033512064343163
2019_Scott Caldwell_New England,Scott Caldwell,27,MF (DM),New England,0.628686327077748,0.4339130434782609,0.7622950819672131,0.8709677419354839,0.6391231028667791,0.6105442176870748,0.18767123287671234,0.029783393501805054,0.4546218487394958,0.49159663865546216,0.24629878869448182,0.2479892761394102
2019_Dillon Powers_Orlando City,Dillon Powers,27,MF,Orlando City,0.2761394101876676,0.6330434782608696,0.5013661202185792,0.299660441426146,0.7521079258010118,0.8903061224489796,0.4184931506849315,0.9494584837545126,0.43865546218487395,0.6647058823529411,0.753028263795424,0.2479892761394102
2019_Justen Glad_Real Salt Lake,Justen Glad,21,DF (CB),Real Salt Lake,0.6977211796246648,0.8826086956521739,0.25136612021857924,0.631578947368421,0.7723440134907251,0.22874149659863946,0.16575342465753426,0.825812274368231,0.12352941176470589,0.1495798319327731,0.24629878869448182,0.2479892761394102
2019_Memo Rodriguez_Houston,Memo Rodriguez,23,MF,Houston,0.7734584450402144,0.2773913043478261,0.5546448087431693,0.8505942275042445,0.1205733558178752,0.8639455782312925,0.8917808219178082,0.30595667870036103,0.9277310924369748,0.8302521008403362,0.7254374158815612,0.9135388739946381
2019_Frankie Amaya_FC Cincinnati,Frankie Amaya,18,MF,FC Cincinnati,0.6072386058981233,0.23565217391304347,0.9508196721311475,0.6061120543293718,0.7352445193929174,0.5739795918367347,0.48356164383561645,0.45938628158844763,0.8218487394957983,0.3546218487394958,0.24629878869448182,0.2479892761394102
2019_John Nelson_FC Dallas,John Nelson,20,DF,FC Dallas,0.3424932975871314,0.5547826086956522,0.4651639344262295,0.931239388794567,0.5994940978077572,0.22874149659863946,0.7424657534246575,0.9494584837545126,0.7025210084033613,0.1495798319327731,0.24629878869448182,0.2479892761394102
2019_Micheal Azira_Montreal,Micheal Azira,31,"DF-MF (DM, right)",Montreal,0.6072386058981233,0.2773913043478261,0.4057377049180328,0.735144312393888,0.8170320404721754,0.22874149659863946,0.386986301369863,0.4223826714801444,0.43025210084033616,0.5243697478991597,0.5672947510094213,0.2479892761394102
2019_Micheal Azira_Chicago,Micheal Azira,31,"DF-MF (DM, right)",Chicago,0.18029490616621985,0.23565217391304347,0.3790983606557377,0.669779286926995,0.8170320404721754,0.22874149659863946,0.34863013698630135,0.6191335740072202,0.4512605042016807,0.7974789915966387,0.24629878869448182,0.2479892761394102
2019_Diedie Traoré_LA Galaxy,Diedie Traoré,20,DF,LA Galaxy,0.18029490616621985,0.5547826086956522,0.9596994535519126,0.8378607809847198,0.30438448566610454,0.22874149659863946,0.6931506849315069,0.6191335740072202,0.23697478991596638,0.1495798319327731,0.24629878869448182,0.2479892761394102
2019_Mauro Manotas_Houston,Mauro Manotas,23,FW,Houston,0.9524128686327078,0.18956521739130436,0.11065573770491803,0.09507640067911714,0.40050590219224286,0.8520408163265306,0.40136986301369865,0.2563176895306859,0.7495798319327731,0.8420168067226891,0.879542395693136,0.9182305630026809
2019_Diego Palacios_Los Angeles FC,Diego Palacios,19,"DF (FB, left)",Los Angeles FC,0.09584450402144772,0.03217391304347826,0.9911202185792349,0.8073005093378608,0.7445193929173693,0.22874149659863946,0.8945205479452055,,0.27647058823529413,0.1495798319327731,0.24629878869448182,0.2479892761394102
2019_Juan David Cabezas_Houston,Juan David Cabezas,27,MF,Houston,0.4912868632707775,0.6739130434782609,0.9596994535519126,0.9575551782682513,0.7934232715008431,0.7831632653061225,0.07876712328767123,0.7770758122743683,0.2823529411764706,0.1495798319327731,0.24629878869448182,0.7050938337801609
2019_Nicolás Mezquida_Colorado,Nicolás Mezquida,27,FW-MF (AM),Colorado,0.9524128686327078,0.22086956521739132,0.7691256830601093,0.44142614601018676,0.26475548060708265,0.8562925170068028,0.763013698630137,0.5776173285198556,0.9243697478991597,0.8907563025210085,0.8149394347240915,0.7928954423592494
2019_Justin Haak_NYCFC,Justin Haak,17,MF,NYCFC,0.14075067024128687,,0.0389344262295082,0.02631578947368421,0.9940978077571669,0.22874149659863946,0.07876712328767123,,0.03529411764705882,0.1495798319327731,0.24629878869448182,0.2479892761394102
2019_Sacha Kljestan_Orlando City,Sacha Kljestan,33,MF (AM),Orlando City,0.6977211796246648,0.7808695652173913,0.47540983606557374,0.565365025466893,0.5,0.7193877551020408,0.5712328767123288,0.546028880866426,0.8100840336134454,0.7210084033613445,0.8324360699865411,0.5837801608579088
2019_Harold Cummings_San Jose,Harold Cummings,26,DF (CB),San Jose,0.5180965147453083,0.8617391304347826,0.519808743169399,0.9219015280135824,0.8490725126475548,0.5425170068027211,0.07876712328767123,0.8925992779783394,0.18739495798319328,0.1495798319327731,0.24629878869448182,0.2479892761394102
2019_Amro Tarek_NY Red Bulls,Amro Tarek,26,"DF (CB, left)",NY Red Bulls,0.628686327077748,0.8973913043478261,0.319672131147541,0.3242784380305603,0.03204047217537943,0.5331632653061225,0.4452054794520548,0.20487364620938628,0.25126050420168067,0.5058823529411764,0.5672947510094213,0.5663538873994638
